cell_id,year,scenario_label,n_level_kg_ha,yield_obs_kgha,biomass_obs_kgha,lat,lon
KNS1,2018,N0,0,514.0,1223.8,11.15,8.15
KNS1,2018,N30,30,1143.7,2723.1,11.15,8.15
KNS1,2018,N60,60,1570.0,3738.1,11.15,8.15
KNS1,2018,N90,90,1858.6,4425.2,11.15,8.15
KNS1,2019,N0,0,449.2,1069.5,11.15,8.15
KNS1,2019,N30,30,999.3,2379.3,11.15,8.15
KNS1,2019,N60,60,1371.8,3266.2,11.15,8.15
KNS1,2019,N90,90,1624.0,3866.7,11.15,8.15
KNS1,2020,N0,0,499.1,1188.3,11.15,8.15
KNS1,2020,N30,30,1110.4,2643.8,11.15,8.15
KNS1,2020,N60,60,1524.3,3629.3,11.15,8.15
KNS1,2020,N90,90,1804.5,4296.4,11.15,8.15
KNS2,2018,N0,0,592.3,1410.2,11.35,8.6
KNS2,2018,N30,30,1317.7,3137.4,11.35,8.6
KNS2,2018,N60,60,1808.9,4306.9,11.35,8.6
KNS2,2018,N90,90,2141.5,5098.8,11.35,8.6
KNS2,2019,N0,0,517.5,1232.1,11.35,8.6
KNS2,2019,N30,30,1151.4,2741.4,11.35,8.6
KNS2,2019,N60,60,1580.6,3763.3,11.35,8.6
KNS2,2019,N90,90,1871.2,4455.2,11.35,8.6
KNS2,2020,N0,0,575.0,1369.0,11.35,8.6
KNS2,2020,N30,30,1279.3,3046.0,11.35,8.6
KNS2,2020,N60,60,1756.2,4181.4,11.35,8.6
KNS2,2020,N90,90,2079.1,4950.2,11.35,8.6
KNS3,2018,N0,0,553.1,1316.9,11.55,8.25
KNS3,2018,N30,30,1230.7,2930.2,11.55,8.25
KNS3,2018,N60,60,1689.5,4022.6,11.55,8.25
KNS3,2018,N90,90,2000.0,4761.9,11.55,8.25
KNS3,2019,N0,0,483.3,1150.7,11.55,8.25
KNS3,2019,N30,30,1075.4,2560.5,11.55,8.25
KNS3,2019,N60,60,1476.2,3514.8,11.55,8.25
KNS3,2019,N90,90,1747.6,4161.0,11.55,8.25
KNS3,2020,N0,0,537.0,1278.6,11.55,8.25
KNS3,2020,N30,30,1194.9,2845.0,11.55,8.25
KNS3,2020,N60,60,1640.2,3905.2,11.55,8.25
KNS3,2020,N90,90,1941.8,4623.3,11.55,8.25
KNS4,2018,N0,0,620.2,1476.7,11.7,8.8
KNS4,2018,N30,30,1379.9,3285.5,11.7,8.8
KNS4,2018,N60,60,1894.2,4510.0,11.7,8.8
KNS4,2018,N90,90,2242.5,5339.3,11.7,8.8
KNS4,2019,N0,0,541.9,1290.2,11.7,8.8
KNS4,2019,N30,30,1205.7,2870.7,11.7,8.8
KNS4,2019,N60,60,1655.2,3941.0,11.7,8.8
KNS4,2019,N90,90,1959.4,4665.2,11.7,8.8
KNS4,2020,N0,0,602.1,1433.6,11.7,8.8
KNS4,2020,N30,30,1339.7,3189.8,11.7,8.8
KNS4,2020,N60,60,1839.1,4378.8,11.7,8.8
KNS4,2020,N90,90,2177.2,5183.8,11.7,8.8
KNS5,2018,N0,0,491.7,1170.7,11.85,8.4
KNS5,2018,N30,30,1094.0,2604.8,11.85,8.4
KNS5,2018,N60,60,1501.7,3575.5,11.85,8.4
KNS5,2018,N90,90,1777.8,4232.9,11.85,8.4
KNS5,2019,N0,0,429.6,1022.9,11.85,8.4
KNS5,2019,N30,30,955.9,2276.0,11.85,8.4
KNS5,2019,N60,60,1312.2,3124.3,11.85,8.4
KNS5,2019,N90,90,1553.4,3698.6,11.85,8.4
KNS5,2020,N0,0,477.4,1136.7,11.85,8.4
KNS5,2020,N30,30,1062.1,2528.8,11.85,8.4
KNS5,2020,N60,60,1458.0,3471.4,11.85,8.4
KNS5,2020,N90,90,1726.0,4109.5,11.85,8.4
KNS6,2018,N0,0,569.9,1356.9,11.25,8.9
KNS6,2018,N30,30,1268.0,3019.0,11.25,8.9
KNS6,2018,N60,60,1740.6,4144.3,11.25,8.9
KNS6,2018,N90,90,2060.7,4906.4,11.25,8.9
KNS6,2019,N0,0,498.0,1185.7,11.25,8.9
KNS6,2019,N30,30,1108.0,2638.1,11.25,8.9
KNS6,2019,N60,60,1521.0,3621.4,11.25,8.9
KNS6,2019,N90,90,1800.6,4287.1,11.25,8.9
KNS6,2020,N0,0,553.3,1317.4,11.25,8.9
KNS6,2020,N30,30,1231.1,2931.2,11.25,8.9
KNS6,2020,N60,60,1689.9,4023.6,11.25,8.9
KNS6,2020,N90,90,2000.6,4763.3,11.25,8.9
