cell_id,year,scenario_label,n_level_kg_ha,yield_obs_kgha,biomass_obs_kgha,lat,lon,calibration_status
SS1,2018,N0,0,525.2,1250.5,11.08,8.08,synthetic
SS1,2018,N30,30,1168.5,2782.1,11.08,8.08,synthetic
SS1,2018,N60,60,1604.1,3819.3,11.08,8.08,synthetic
SS1,2018,N90,90,1899.0,4521.4,11.08,8.08,synthetic
SS1,2019,N0,0,458.9,1092.6,11.08,8.08,synthetic
SS1,2019,N30,30,1021.1,2431.2,11.08,8.08,synthetic
SS1,2019,N60,60,1401.7,3337.4,11.08,8.08,synthetic
SS1,2019,N90,90,1659.4,3951.0,11.08,8.08,synthetic
SS1,2020,N0,0,509.9,1214.0,11.08,8.08,synthetic
SS1,2020,N30,30,1134.5,2701.2,11.08,8.08,synthetic
SS1,2020,N60,60,1557.4,3708.1,11.08,8.08,synthetic
SS1,2020,N90,90,1843.7,4389.8,11.08,8.08,synthetic
SS2,2018,N0,0,597.8,1423.3,11.32,8.12,synthetic
SS2,2018,N30,30,1330.2,3167.1,11.32,8.12,synthetic
SS2,2018,N60,60,1826.0,4347.6,11.32,8.12,synthetic
SS2,2018,N90,90,2161.7,5146.9,11.32,8.12,synthetic
SS2,2019,N0,0,522.4,1243.8,11.32,8.12,synthetic
SS2,2019,N30,30,1162.3,2767.4,11.32,8.12,synthetic
SS2,2019,N60,60,1595.5,3798.8,11.32,8.12,synthetic
SS2,2019,N90,90,1888.8,4497.1,11.32,8.12,synthetic
SS2,2020,N0,0,580.4,1381.9,11.32,8.12,synthetic
SS2,2020,N30,30,1291.4,3074.8,11.32,8.12,synthetic
SS2,2020,N60,60,1772.8,4221.0,11.32,8.12,synthetic
SS2,2020,N90,90,2098.7,4996.9,11.32,8.12,synthetic
SS3,2018,N0,0,547.6,1303.8,11.12,8.33,synthetic
SS3,2018,N30,30,1218.3,2900.7,11.12,8.33,synthetic
SS3,2018,N60,60,1672.4,3981.9,11.12,8.33,synthetic
SS3,2018,N90,90,1979.8,4713.8,11.12,8.33,synthetic
SS3,2019,N0,0,478.4,1139.0,11.12,8.33,synthetic
SS3,2019,N30,30,1064.5,2534.5,11.12,8.33,synthetic
SS3,2019,N60,60,1461.3,3479.3,11.12,8.33,synthetic
SS3,2019,N90,90,1730.0,4119.0,11.12,8.33,synthetic
SS3,2020,N0,0,531.6,1265.7,11.12,8.33,synthetic
SS3,2020,N30,30,1182.8,2816.2,11.12,8.33,synthetic
SS3,2020,N60,60,1623.7,3866.0,11.12,8.33,synthetic
SS3,2020,N90,90,1922.2,4576.7,11.12,8.33,synthetic
SS4,2018,N0,0,614.6,1463.3,11.35,8.36,synthetic
SS4,2018,N30,30,1367.4,3255.7,11.35,8.36,synthetic
SS4,2018,N60,60,1877.2,4469.5,11.35,8.36,synthetic
SS4,2018,N90,90,2222.3,5291.2,11.35,8.36,synthetic
SS4,2019,N0,0,537.0,1278.6,11.35,8.36,synthetic
SS4,2019,N30,30,1194.9,2845.0,11.35,8.36,synthetic
SS4,2019,N60,60,1640.2,3905.2,11.35,8.36,synthetic
SS4,2019,N90,90,1941.8,4623.3,11.35,8.36,synthetic
SS4,2020,N0,0,596.7,1420.7,11.35,8.36,synthetic
SS4,2020,N30,30,1327.6,3161.0,11.35,8.36,synthetic
SS4,2020,N60,60,1822.5,4339.3,11.35,8.36,synthetic
SS4,2020,N90,90,2157.5,5136.9,11.35,8.36,synthetic
